id,title,author,downloads,subjects,birth,death,pyearp
PG35364,Ethel Morton at Sweetbrier Lodge,"Smith, Mabell S. C. (Mabell Shippie Clarke)",14,"{'Gardening -- Juvenile fiction', 'Concrete -- Juvenile fiction', 'Families -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Furniture making -- Juvenile fiction'}",1864.0,1942.0,1903.0
PG13803,"Making His Way; Or, Frank Courtney's Struggle Upward","Alger, Horatio, Jr.",19,"{'Children -- Conduct of life -- Juvenile fiction', 'Perseverance (Ethics) -- Juvenile fiction', 'Honesty -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Success -- Juvenile fiction', 'Kindness -- Juvenile fiction'}",1832.0,1899.0,1866.0
PG310,Before Adam,"London, Jack",151,"{'Prehistoric peoples -- Fiction', 'Fantasy fiction', 'Dreams -- Fiction'}",1876.0,1916.0,1896.0
PG3269,"The Autobiography of Mark Rutherford, Edited by his friend Reuben Shapcott","White, William Hale",13,{'Religious fiction'},1831.0,1913.0,1872.0
PG37253,In the Land of the Great Snow Bear: A Tale of Love and Heroism,"Stables, Gordon",11,"{'Arctic regions -- Discovery and exploration -- Juvenile fiction', 'North Atlantic Ocean -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Polar bear -- Juvenile fiction', 'Ocean travel -- Juvenile fiction'}",1840.0,1910.0,1875.0
PG18612,From the Housetops,"McCutcheon, George Barr",10,{'Man-woman relationships -- Fiction'},1866.0,1928.0,1897.0
PG35186,A Round Dozen,"Coolidge, Susan",35,"{'Children -- Conduct of life -- Juvenile fiction', 'Fantasy literature', 'Conduct of life -- Juvenile fiction', ""Children's stories"", 'Christian life -- Juvenile fiction'}",1835.0,1905.0,1870.0
PG3649,The Dwelling Place of Light — Complete,"Churchill, Winston",48,"{'New England -- Social life and customs -- Fiction', 'Textile industry -- Fiction', 'Strikes and lockouts -- Fiction', 'Working class women -- Fiction'}",1871.0,1947.0,1909.0
PG45236,The Camp Fire Girls in Glorious France,"Vandercook, Margaret",15,"{'Camp Fire Girls -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'France -- Description and travel -- Juvenile fiction', 'Paris (France) -- Description and travel -- Juvenile fiction', 'French -- Social life and customs -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Adventure stories'}",1876.0,1958.0,1917.0
PG15247,John Henry Smith: A Humorous Romance of Outdoor Life,"Adams, Frederick Upham",7,"{'Outdoor life -- Fiction', 'Humorous stories'}",1859.0,1921.0,1890.0
PG21227,Shenac's Work at Home,"Robertson, Margaret M. (Margaret Murray)",3,"{'Glengarry (Ont.) -- Fiction', 'Scots -- Ontario -- Fiction', 'Women -- Ontario -- Fiction', 'Domestic fiction'}",1821.0,1897.0,1859.0
PG11402,The Sky Line of Spruce,"Marshall, Edison",24,{'British Columbia -- Fiction'},1894.0,1967.0,1930.0
PG53345,"Dan, the Newsboy","Alger, Horatio, Jr.",66,"{'Courage -- Juvenile fiction', 'Bildungsromans', 'Detective and mystery stories', 'New York (N.Y.) -- History -- 1865-1898 -- Juvenile fiction', 'Kidnapping -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Success -- Juvenile fiction', 'Fatherless families -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Newspaper vendors -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Youth and death -- Juvenile fiction', 'Poverty -- Juvenile fiction'}",1832.0,1899.0,1866.0
PG46988,"Mother West Wind ""When"" Stories","Burgess, Thornton W. (Thornton Waldo)",50,"{""Children's stories, American"", 'Animals -- Juvenile fiction'}",1874.0,1965.0,1920.0
