id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG51404;Plain Living: A Bush Idyll;Boldrewood, Rolf;1826.0;1915.0;1889.0;1889;['en'];12;{'Australia -- Fiction'};Rolf+Boldrewood;Plain+Living;https://www.worldcat.org/search?q=Rolf+Boldrewood+Plain+Living&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7502;Annie Kilburn : a Novel;Howells, William Dean;1837.0;1920.0;1888.0;1888;['en'];15;{'Working class -- Fiction', 'Massachusetts -- Fiction'};William+Howells;Annie+Kilburn;https://www.worldcat.org/search?q=William+Howells+Annie+Kilburn&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21107;On Board the Esmeralda: Martin Leigh's Log - A Sea Story;Hutcheson, John C. (John Conroy);;;1885.0;1885;['en'];54;{'Rescues -- Juvenile fiction', 'Physicians -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Sailing -- Juvenile fiction', 'Aunts -- Juvenile fiction'};John+Hutcheson;Board+Esmeralda;https://www.worldcat.org/search?q=John+Hutcheson+Board+Esmeralda&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5520;The Bride of the Nile — Volume 04;Ebers, Georg;1837.0;1898.0;1880.0;1880;['en'];6;{'Egypt -- History -- Fiction', 'German fiction -- Translations into English'};Georg+Ebers;Bride+Nile;https://www.worldcat.org/search?q=Georg+Ebers+Bride+Nile&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23540;The Twin Cousins;May, Sophie;1833.0;1906.0;1880.0;1880;['en'];23;{'Twins -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Christmas -- Juvenile fiction'};Sophie+May;Twin+Cousins;https://www.worldcat.org/search?q=Sophie+May+Twin+Cousins&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35619;The Prophet of the Great Smoky Mountains;Murfree, Mary Noailles;1850.0;1922.0;1885.0;1885;['en'];22;{'Clergy -- Fiction', 'Tennessee, East -- Fiction', 'Dialect literature, American -- Tennessee', 'Great Smoky Mountains (N.C. and Tenn.) -- Fiction', 'Mountain life -- Fiction'};Mary+Murfree;Prophet+Great;https://www.worldcat.org/search?q=Mary+Murfree+Prophet+Great&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26740;The Picture of Dorian Gray;Wilde, Oscar;1854.0;1900.0;2008.0;1887;['en'];345;{'Supernatural -- Fiction', 'Portraits -- Fiction', 'Appearance (Philosophy) -- Fiction', 'Didactic fiction', 'Conduct of life -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Paranormal fiction'};Oscar+Wilde;Picture+Dorian;https://www.worldcat.org/search?q=Oscar+Wilde+Picture+Dorian&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG53598;The Shield of Love;Farjeon, B. L. (Benjamin Leopold);1833.0;1903.0;1891.0;1891;['en'];4;{'English fiction -- 19th century'};Farjeon;Shield+Love;https://www.worldcat.org/search?q=Farjeon+Shield+Love&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26624;The Road to Oz;Baum, L. Frank (Lyman Frank);1856.0;1919.0;2013.0;1898;['en'];259;{'Magic -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Farms -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Voyages and travels -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction'};Frank+Baum;Road;https://www.worldcat.org/search?q=Frank+Baum+Road&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG24499;The Green Carnation;Hichens, Robert;1864.0;1950.0;1894.0;1894;['en'];54;{'Biographical fiction', 'Authors -- Fiction', 'Gay men -- Fiction', 'London (England) -- Fiction', 'Ireland -- Fiction', 'Wilde, Oscar, 1854-1900 -- Fiction'};Robert+Hichens;Green+Carnation;https://www.worldcat.org/search?q=Robert+Hichens+Green+Carnation&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
