id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG34130,The Princess Galva: A Romance,"Whitelaw, David",1875.0,1970.0,['en'],17,"{'Adventure stories', 'Princesses -- Fiction'}",
PG34134,The Great Mogul,"Tracy, Louis",1863.0,1928.0,['en'],54,{'Mogul Empire -- Fiction'},
PG34136,Pip : A Romance of Youth,"Hay, Ian",1876.0,1952.0,['en'],13,"{'Schools -- Fiction', 'Boys -- Fiction', 'Young men -- Fiction', 'Golf stories', 'Love stories', 'Cricket -- Fiction'}",
PG34138,Lady Maude's Mania,"Fenn, George Manville",1831.0,1909.0,['en'],23,{'Fiction'},
PG34139,Real Gold: A Story of Adventure,"Fenn, George Manville",1831.0,1909.0,['en'],6,"{'Indians of South America -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Fathers and sons -- Juvenile fiction', 'South America -- Juvenile fiction', 'Treasure troves -- Juvenile fiction', 'Incas -- Juvenile fiction', 'Quinine -- Juvenile fiction'}",
PG3413,The Blazed Trail,"White, Stewart Edward",1873.0,1946.0,['en'],26,"{'Michigan -- Fiction', 'Logging -- Fiction', 'Frontier and pioneer life -- Fiction', 'Loggers -- Fiction'}",
PG34140,A Double Knot,"Fenn, George Manville",1831.0,1909.0,['en'],11,{'Fiction'},
PG34141,The Parson O' Dumford,"Fenn, George Manville",1831.0,1909.0,['en'],19,"{'Clergy -- Fiction', 'English fiction', 'Lincolnshire (England) -- Fiction'}",
PG34142,By Birth a Lady,"Fenn, George Manville",1831.0,1909.0,['en'],8,{'Fiction'},
PG34143,A Little World,"Fenn, George Manville",1831.0,1909.0,['en'],6,"{'City and town life -- Fiction', 'Urban poor -- Fiction'}",
PG34144,"Wilson's Tales of the Borders and of Scotland, Volume 04",,,,['en'],7,{'Scottish Borders (Scotland) -- Fiction'},
PG34145,"Wilson's Tales of the Borders and of Scotland, Volume 05",,,,['en'],8,{'Scottish Borders (Scotland) -- Fiction'},
PG34146,"Wilson's Tales of the Borders and of Scotland, Volume 07",,,,['en'],10,{'Scottish Borders (Scotland) -- Fiction'},
PG34147,"Wilson's Tales of the Borders and of Scotland, Volume 08",,,,['en'],7,{'Scottish Borders (Scotland) -- Fiction'},
PG34148,"Wilson's Tales of the Borders and of Scotland, Volume 10",,,,['en'],4,{'Scottish Borders (Scotland) -- Fiction'},
PG34149,"Wilson's Tales of the Borders and of Scotland, Volume 12",,,,['en'],10,{'Scottish Borders (Scotland) -- Fiction'},
PG34150,"Wilson's Tales of the Borders and of Scotland, Volume 13",,,,['en'],3,{'Scottish Borders (Scotland) -- Fiction'},
PG34151,"Wilson's Tales of the Borders and of Scotland, Volume 14",,,,['en'],9,{'Scottish Borders (Scotland) -- Fiction'},
PG34152,"Wilson's Tales of the Borders and of Scotland, Volume 15",,,,['en'],28,{'Scottish Borders (Scotland) -- Fiction'},
PG34153,"Wilson's Tales of the Borders and of Scotland, Volume 16",,,,['en'],4,{'Scottish Borders (Scotland) -- Fiction'},
PG34156,The Undying Past,"Sudermann, Hermann",1857.0,1928.0,['en'],41,"{'Germany -- Fiction', 'Sin -- Fiction', 'German fiction -- Translations into English'}",
PG34164,A Blot on the Scutcheon,"Knowles, Mabel Winifred",1875.0,1949.0,['en'],18,{'Fiction'},
PG34166,Capricious Caroline,"Rowlands, Effie Adelaide",1866.0,1936.0,['en'],22,{'Fiction'},
PG34168,Zula,"Lindley, H. Esselstyn",,,['en'],15,{'Fiction'},
PG34171,"Toppleton's Client; Or, A Spirit in Exile","Bangs, John Kendrick",1862.0,1922.0,['en'],24,"{'Humorous stories', 'Ghosts -- Fiction', 'Legal stories'}",
PG34177,The Idyl of Twin Fires,"Eaton, Walter Prichard",1878.0,1957.0,['en'],42,"{'Love stories', 'Farm life -- Fiction', 'New England -- Fiction'}",
PG3417,The Fortunes of Oliver Horn,"Smith, Francis Hopkinson",1838.0,1915.0,['en'],6,"{'Bildungsromans', 'Young men -- Fiction', 'New York (N.Y.) -- Fiction', 'Baltimore (Md.) -- Fiction', 'Painters -- Fiction'}",
PG34181,Irene Iddesleigh,"Ros, Amanda McKittrick",1860.0,1939.0,['en'],1164,{'Fiction'},
PG34190,H.M.S. ----,"Bower, John Graham",1886.0,1940.0,['en'],19,"{'Seafaring life -- Fiction', 'World War, 1914-1918 -- Fiction'}",
PG3419,Rebecca Mary,"Donnell, Annie Hamilton",1862.0,1943.0,['en'],8,"{'United States -- Social life and customs -- 19th century -- Fiction', 'Short stories'}",
