;author;title;year;avgsentlen
PG7659;Edward+Lytton;What+Will;1850;22.571428571428573
PG7927;Honoré+Balzac;Celibates;1834;26.588665853388044
PG9182;Charlotte+Brontë;Villette;1846;25.670669975186104
PG11757;Margery+Bianco;Velveteen+Rabbit;1922;21.621399176954732
PG469;Honoré+Balzac;Duchesse+Langeais;1834;25.20186113099499
PG7387;Charlotte+Yonge;Grisly+Grisell;1893;28.355594405594406
PG3479;Abraham+Merritt;Metal+Monster;1924;18.213371505557426
PG50309;Robert+Bowen;Dave+Dawson;1943;15.78887573964497
PG1063;Edgar+Poe;Cask+Amontillado;1839;14.254310344827585
PG7105;Mark+Twain;Adventures+Huckleberry;1882;24.82904884318766
PG49650;James;Arrah+Neil;1800;33.04545454545455
PG4979;Thornton+Burgess;Blacky+Crow;1922;18.814106789716547
PG26599;Linn+Porter;Black+Adonis;1894;18.17704011065007
PG21558;Frederick+Marryat;Children+Forest;1830;27.25975193241057
PG58355;Eden+Phillpotts;Three+Brothers;1900;18.905861279729326
PG52842;Robert+Chambers;Japonette;1895;18.384035197988688
PG17180;Mary+Hanshew;Riddle+Frozen;1917;19.0741067490075
PG10720;Émile+Zola;Doctor+Pascal;1894;24.805999347896968
PG35197;Mayne+Reid;Bandolero+Marriage;1860;20.314864144912093
PG30537;Ruth+Thompson;Royal+Book;1944;16.62935465448315
PG18498;Laurence+Housman;King+John;1937;23.778478162989643
PG21705;Ballantyne;Track+Troops;1855;26.981325863678805
PG2825;Fouqué+Motte;Undine;1800;33.09842519685039
PG14711;Clair+Hayes;Allies+Under;1942;15.259636206149848
PG47771;James+Payn;Mirk+Abbey;1866;30.172506738544474
PG40594;Montrésor;Into+Highways;1800;21.065747985519092
PG5744;Émile+Zola;Thin;1888;26.014839491217444
PG21477;William+Kingston;Mark+Seaworth;1857;30.162512664640325
PG7682;Edward+Lytton;Harold+Last;1848;30.1974358974359
PG40158;Madame+Panache;Manners+Novel;1817;42.893740902474526
PG32444;der+Velde;Tales+from;1812;22.897087378640776
PG27202;George+Reynolds;Wagner+Wehr;1856;32.59943296881328
PG57415;Speight;Mysteries+Heron;1880;20.24124830393487
PG50325;James;Castle+Ehrenstein;1800;34.118899882609426
PG59201;Emerson+Hough;North;1900;16.3045419888901
PG33583;Paul+Heyse;Arrabiata+Other;1857;26.469501611703446
PG63902;Mrs+Oliphant;Duke+Daughter;1858;23.107333657115106
PG54920;James+Grant;Romance+Highlanders;1846;28.40171650055371
PG47775;Ruby+Radford;Kitty+Carter;1944;16.311475409836067
PG55219;Aleksandr+Pushkin;Prose+Tales;1828;20.592957746478874
PG54195;Horatio+Alger;Grit+Young;1870;15.719752030782386
PG19615;Legh+Richmond;Dairyman+Daughter;1800;26.255252918287937
PG32630;David+Keller;Tiger;1933;14.416961130742049
PG30715;Jerome+Bixby;Where+There;1941;14.71563981042654
PG35486;Jarvis;Great+Gold;1920;19.57520981278244
PG37369;John+Kennedy;Bowl+Legend;1842;25.724909141738888
PG2034;Walter+Scott;Waverley+Sixty;1814;38.138770840143835
PG65427;Kay+Lyttleton;Jean+Craig;1948;18.14011850819101
PG29697;Edfrid+Bingham;Heart+Thunder;1912;17.892259264558593
PG36236;Henty;Dorothy+Double;1894;25.2012474012474
PG41797;Christina+Whyte;Story+Book;1925;16.957683741648108
PG1862;Alphonse+Daudet;Tartarin+Tarascon;1878;24.033312382149592
PG3475;Edgar+Burroughs;Efficiency+Expert;1922;21.144054141153724
PG34452;Eugène+Sue;Iron+Arrow;1840;22.512722035525684
PG60457;Zona+Gale;When+Little;1913;22.09503146018659
PG34530;Robert+Bird;Infidel+Fall;1835;31.679472254559567
PG36561;Frances+Trollope;Widow+Barnaby;1800;37.983996120271584
PG30378;Lizette+Edholm;Merriweather+Girls;1932;15.145639471975763
PG34414;Richmal+Crompton;Just+William;1940;14.640111659866868
PG42946;Emma+Davenport;Live+Toys;1862;17.616760168302946
PG2309;John+Galsworthy;Freelands;1922;20.585050753614272
PG51112;Murray+Leinster;Other;1946;13.864224137931034
PG42259;Robert+Howard;People+Black;1931;19.32247081712062
PG33647;Amelia+Comfield;Alida+Miscellaneous;1819;29.196380576957534
PG2833;Henry+James;Portrait+Lady;1890;22.17013988010277
PG3102;Charles+Warner;Their+Pilgrimage;1874;27.230906768837805
PG12741;Horatio+Alger;Risen+from;1874;16.512479201331114
PG44573;John+Galt;Entail+Lairds;1823;37.74647102526003
PG14432;James+Runciman;Dream+North;1889;23.265805574439156
