,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG41963,"""The Debatable Land"": A Novel","Colton, Arthur",7,{'Fiction'},1901.0,Arthur+Colton,Debatable+Land,https://www.worldcat.org/search?q=Arthur+Colton+Debatable+Land&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5941,"The History of Don Quixote, Volume 2, Part 38","Cervantes Saavedra, Miguel de",7,"{'Knights and knighthood -- Spain -- Fiction', 'Romances', 'Picaresque literature', 'Spain -- Social life and customs -- 16th century -- Fiction'}",1906.0,Saavedra+Cervantes,History+Quixote,https://www.worldcat.org/search?q=Saavedra+Cervantes+History+Quixote&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26216,The Son of Monte-Cristo,"Lermina, Jules",37,"{'Dantès, Edmond (Fictitious character) -- Fiction', 'Fathers and sons -- Fiction', 'Adventure stories'}",1800.0,Jules+Lermina,Monte+Cristo,https://www.worldcat.org/search?q=Jules+Lermina+Monte+Cristo&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33096,Years of Plenty,"Brown, Ivor John Carnegie",18,"{'Boarding schools -- England -- Fiction', 'University of Oxford -- Fiction'}",1910.0,Ivor+Brown,Years+Plenty,https://www.worldcat.org/search?q=Ivor+Brown+Years+Plenty&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG58270,"Blue Jackets; or, The Adventures of J. Thompson, A.B., Among ""the Heathen Chinee"": A Nautical Novel","Greey, Edward",6,"{'Seafaring life -- Fiction', 'Great Britain. Royal Navy -- Fiction'}",1870.0,Edward+Greey,Blue+Jackets,https://www.worldcat.org/search?q=Edward+Greey+Blue+Jackets&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG55526,The Law of the Bolo,"Hyatt, Stanley Portal",13,{'Philippines -- Fiction'},1910.0,Stanley+Hyatt,Bolo,https://www.worldcat.org/search?q=Stanley+Hyatt+Bolo&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33857,The Lost Manuscript: A Novel,"Freytag, Gustav",12,{'German fiction -- Translations into English'},1865.0,Gustav+Freytag,Lost+Manuscript,https://www.worldcat.org/search?q=Gustav+Freytag+Lost+Manuscript&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22669,"The Young Miner; Or, Tom Nelson in California","Alger, Horatio, Jr.",16,"{'California -- Gold discoveries -- Fiction', 'Conduct of life -- Fiction', 'California -- History -- 19th century -- Fiction', 'California -- History -- 19th century -- Juvenile fiction', 'Miners -- Fiction', 'California -- Gold discoveries -- Juvenile fiction'}",1800.0,Horatio+Alger,Young+Miner,https://www.worldcat.org/search?q=Horatio+Alger+Young+Miner&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG29932,The Harbor,"Poole, Ernest",35,{'Fiction'},1900.0,Ernest+Poole,Harbor,https://www.worldcat.org/search?q=Ernest+Poole+Harbor&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21380,A Young Hero,"Fenn, George Manville",4,"{'Québec Campaign, Québec, 1759 -- Juvenile fiction'}",1895.0,George+Fenn,Young+Hero,https://www.worldcat.org/search?q=George+Fenn+Young+Hero&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26623,"The Brass Bell; or, The Chariot of Death","Sue, Eugène",6,{'Gaul -- History -- 58 B.C.-511 A.D. -- Fiction'},1904.0,Eugène+Sue,Brass+Bell,https://www.worldcat.org/search?q=Eugène+Sue+Brass+Bell&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG63549,"Under the Polar Star; or, The Young Explorers","Weldon, Dwight",4,"{'Flagellation -- Juvenile fiction', 'Insurance fraud -- Juvenile fiction', 'Mutiny -- Juvenile fiction', 'Whaling -- Juvenile fiction', 'Dime novels', 'Eskimos -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Merchant mariners -- Juvenile fiction', 'Buildering -- Juvenile fiction', 'Ship captains -- Juvenile fiction', 'Success -- Juvenile fiction', 'Stowaways -- Juvenile fiction', 'Trapping -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Child labor -- Juvenile fiction', 'Poverty -- Juvenile fiction', 'Building, Ice and snow -- Juvenile fiction'}",1886.0,Dwight+Weldon,Under+Polar,https://www.worldcat.org/search?q=Dwight+Weldon+Under+Polar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3537,Frederick the Great and His Family: A Historical Novel,"Mühlbach, L. (Luise)",23,"{'Frederick II, King of Prussia, 1712-1786 -- Fiction', ""Seven Years' War, 1756-1763 -- Fiction""}",1866.0,Mühlbach,Frederick+Great,https://www.worldcat.org/search?q=Mühlbach+Frederick+Great&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7723,The Last of the Barons — Volume 09,"Lytton, Edward Bulwer Lytton, Baron",12,"{'Warwick, Richard Neville, Earl of, 1428-1471 -- Fiction', 'Great Britain -- History -- Wars of the Roses, 1455-1485 -- Fiction'}",1800.0,Edward+Lytton,Last+Barons,https://www.worldcat.org/search?q=Edward+Lytton+Last+Barons&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG4792,In Freedom's Cause : A Story of Wallace and Bruce,"Henty, G. A. (George Alfred)",126,"{'Wallace, William, Sir, -1305 -- Fiction', 'Scotland -- History -- War of Independence, 1285-1371 -- Fiction', 'Scotland -- History -- Robert I, 1306-1329 -- Fiction', 'Robert I, King of Scots, 1274-1329 -- Fiction', 'Adventure and adventurers -- Fiction'}",1887.0,Henty,Freedom+Cause,https://www.worldcat.org/search?q=Henty+Freedom+Cause&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
