;author;year;avgsentlen
PG50862;Gordon;1894;30.181818181818183
PG5559;Ebers;1868;46.26645264847512
PG1056;London;1896;19.827860805061633
PG553;Burroughs;1912;24.917386609071276
PG55764;Stratemeyer;1896;18.596170033670035
PG5073;Reeve;1908;19.075525525525524
PG11988;Blackwood;1910;28.41254752851711
PG8869;Stephens;1886;19.970103380832636
PG8944;MacDonald;1864;20.53987891550408
PG2508;Harte;1869;23.27469228459922
PG39105;Cooper;1848;44.498383968972206
PG30059;James;1880;22.973333333333333
PG35401;Stevens;1916;23.261648745519715
PG21930;Jacobs;1903;18.06175611947002
PG2697;Holmes;1852;27.477196095829637
PG33963;Rives;1916;18.91773740954069
PG26624;Baum;1888;23.300933786078097
PG17279;Dougall;1890;25.797581821972067
PG25203;Reid;1850;27.041470311027332
PG5087;Reeve;1908;18.77787007808606
PG9298;Sinclair;1904;15.314045239347712
PG3978;Daudet;1868;22.054918032786887
PG15242;Conquest;1912;39.52329124945581
PG6485;Mitchell;1872;21.91340160284951
PG34000;Trollope;1848;22.198500060481432
PG64458;Morris;1886;30.638591117917304
PG1415;Dickens;1841;24.56568778979907
PG5610;Harland;1883;16.77545871559633
PG63599;Suttner;1878;24.095238095238095
PG5340;Montgomery;1908;19.274077046548957
PG54404;Baring-Gould;1879;17.435708795432085
PG32930;Brereton;1914;23.506729081334115
PG15760;Altsheler;1890;19.766260162601625
PG17349;Castlemon;1878;24.705737704918032
PG6289;Parker;1897;22.745987438939288
PG20280;Vachell;1908;17.711466318708204
PG23070;Kingston;1847;33.11190168175938
PG18496;Johnston;1897;19.615281501340483
PG6426;Hancock;1895;18.34157226227257
PG1550;Burnett;1886;28.653473132372216
PG56237;Hume;1896;19.081329423264908
PG39853;French;1884;22.51159420289855
PG66215;Oyen;1902;15.260737746336533
PG55923;Castlemon;1878;22.04579614842649
PG44590;Russell;1878;20.305993690851736
PG1711;Haggard;1890;27.361984935755427
PG58263;Leonard;1905;21.83387622149837
PG35526;Leslie;1854;23.524233432245303
PG33004;Boothby;1886;22.829041789784718
PG31167;Ewald;1882;17.344789762340035
PG36808;Ritchie;1859;24.955574912891986
PG59100;Holley;1881;25.49484536082474
PG5383;Churchill;1909;24.238486842105264
PG25818;Collingwood;1886;36.03019410496046
PG32271;Dahn;1873;19.178516552591145
PG5971;McCutcheon;1897;17.067022086824068
PG49772;Johnston;1903;19.285810719589577
PG23010;Harris;1894;21.002529510961214
PG47556;Oliphant;1862;24.529833546734956
PG25584;Le Fanu;1844;26.375
PG14001;Hough;1890;20.000972604960285
PG20716;Bailey;1913;16.18386023294509
PG1444;Henry;1886;19.497929892354403
PG215;London;1896;23.52498530276308
PG5582;Ebers;1868;23.0684811237928
PG66498;Knapp;1884;28.59912216532553
PG19174;Wood;1912;21.385570209464703
PG57166;Garvice;1885;18.180568370548073
PG21055;Binns;1904;19.40262957317073
PG60037;Hughes;1914;17.926560871076102
PG8805;Merriman;1882;20.42081894425259
PG33361;Baum;1888;22.21799591002045
PG49108;France;1884;25.096577017114914
PG169;Morris;1865;40.74001125492403
PG21751;Ballantyne;1860;23.861764705882354
PG24499;Hichens;1907;17.353385643708226
PG759;Beerbohm;1914;20.458984375
PG46793;Vimar;1884;26.06088560885609
PG22663;Kompert;1854;21.1994301994302
PG321;Norris;1886;19.414414414414413
PG31886;Jókai;1864;23.27080123266564
PG32234;Jókai;1864;25.861909650924023
PG20355;Gibbon;1902;21.531523378582204
PG52302;Kingsley;1898;20.831070287539937
PG16048;Wallace;1901;19.805047867711053
PG7517;Wharton;1900;22.10536277602524
PG63705;Ingraham;1874;18.200876908087043
PG41866;Standish;1906;15.22714404662781
PG30482;Upward;1894;20.521357090554066
PG2762;Haggard;1890;25.245455911071055
PG26259;Southworth;1859;18.977506615701266
PG25581;Baum;1888;26.807479813004676
PG31007;Molesworth;1880;7.984575442883323
PG21636;Cupples;1868;26.800705467372133
PG1299;Bower;1906;24.389873417721518
PG30494;Craik;1856;27.36495791889824
PG12493;Byrum;1904;28.792336217552535
PG28193;Paine;1899;35.772815533980584
PG5895;Curwood;1902;21.628465275793083
PG4224;Spence;1868;29.36868612057473
PG2525;Jerome;1893;28.56899810964083
PG14262;Caine;1892;18.92520456378933
PG21447;Kingston;1847;27.412108661225485
PG29568;Bacheller;1904;18.327046918123276
PG27607;Richards;1896;23.748809523809523
PG20458;Bartlett;1910;15.886035821841814
PG1761;Davis;1890;18.528455284552845
PG62317;Crawford;1882;22.054874800213106
PG17496;Finley;1868;25.237174982431483
PG44210;Benson;1904;23.56179203258241
PG52047;Sutton;1898;28.639684813753583
PG10929;Ballantyne;1860;27.233049817739975
PG25586;Cather;1910;20.876008064516128
PG12360;Dell;1910;14.50224010240468
PG27432;Ford;1906;21.47209365641165
PG17731;Conrad;1890;19.706551915602443
PG34611;Jarvis;1890;23.469060351413294
PG36709;Hillern;1876;19.960693550917934
PG434;Rinehart;1917;18.804902755267424
PG27613;Raymond;1876;16.814760793465577
PG33289;Vandercook;1917;31.01622596153846
PG48863;Hancock;1895;18.723098201936377
PG28885;Carroll;1865;23.264512268102933
PG64978;Roy;1900;21.19429778247096
PG203;Stowe;1854;24.48016186340308
PG23789;Southworth;1859;20.906802818927083
PG3375;Howells;1878;22.184032476319352
PG30807;Stevenson;1872;20.39182156133829
PG16268;Quiller-Couch;1894;24.492827394724664
PG18510;Runciman;1872;22.64331937571374
PG44917;Freud;1898;40.58479532163743
PG47620;Oliphant;1862;22.530970982142858
PG66592;Seawell;1888;28.34744707347447
PG55845;Baum;1888;24.348819782690146
PG5575;Ebers;1868;25.28158844765343
PG47483;Doten;1870;24.962473940236276
PG12972;Bosher;1898;19.19280975818532
PG56158;Lagerlöf;1899;18.35687934027778
PG2807;Johnston;1903;21.142614119648428
PG3700;Trollope;1848;20.636708860759494
PG59199;Hull;1914;24.12588369441277
PG329;Stevenson;1872;24.631457208943715
PG14332;Hanshew;1886;23.59052614846606
PG21122;Vaizey;1887;23.879164909320963
PG7506;Ellis;1878;24.55984555984556
PG49913;Nesbit;1891;23.35649784059678
PG3959;Coppée;1875;26.503972758229285
PG19362;Verne;1866;18.13397129186603
PG51644;Glyn;1904;20.108868501529052
PG2185;Harte;1869;22.101045296167246
PG43141;Meade;1884;21.089135735573016
PG2814;Joyce;1912;18.906991799741043
